source_bone_name,has_complete_xyzw_columns,total_frames,finite_row_count,non_finite_row_count,missing_x_count,missing_y_count,missing_z_count,missing_w_count,complete_xyzw_row_count,complete_xyzw_percent,min_norm,max_norm,mean_norm,median_norm,std_norm,max_abs_norm_error,norm_outside_tolerance_count,norm_outside_tolerance_percent,zero_norm_count,near_zero_norm_count,invalid_row_count,first_invalid_row_index,last_invalid_row_index,first_invalid_frame,last_invalid_frame,invalid_gap_count,longest_invalid_gap_length,qc_status,qc_fail_reasons,qc_warning_reasons,stage05_may_proceed
671:LShin,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991912386729,1.000000819580664,1.000000039390619,1.0000000384177494,2.9196992521561624e-07,8.195806640021175e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LShoulder,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992498767186,1.0000008397431475,1.0000000376082507,1.0000000355699994,2.9007063016871415e-07,8.397431474627126e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LThigh,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992366887086,1.0000008255861592,1.0000000383563437,1.0000000392594992,2.9235826917433545e-07,8.255861592143532e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LThumb1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991360971269,1.0000008801496127,1.000000032411212,1.0000000346999993,2.898852257901487e-07,8.801496127475161e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LThumb2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991822921657,1.0000010026444974,1.0000000326581306,1.0000000315927495,2.9286661561928294e-07,1.002644497427596e-06,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LThumb3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999990908640868,1.0000009616005376,1.0000000337710557,1.0000000334884995,2.922145274454563e-07,9.616005376411607e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LToe,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991733521584,1.000000823252161,1.0000000377117009,1.0000000374704991,2.905854413820885e-07,8.266478416230072e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LUArm,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999155064143,1.000000922085075,1.0000000350653337,1.0000000342952493,2.88912010538635e-07,9.220850749613874e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Neck,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999195044176,1.0000007817601944,1.0000000376410785,1.0000000374347493,2.903113692927371e-07,8.049558239964227e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RFArm,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999137432628,1.0000009743880254,1.000000034841673,1.0000000368454993,2.8853454797667815e-07,9.74388025376527e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RFoot,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992561407234,1.0000008153446678,1.0000000400885432,1.0000000405497493,2.892113789054173e-07,8.153446677816589e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RHand,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991848371677,1.000000919795577,1.0000000350229938,1.0000000387542491,2.89205801129735e-07,9.197955770368083e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RIndex1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992102746882,1.0000009060145896,1.000000033389468,1.0000000317267494,2.895531371142344e-07,9.060145895745109e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RIndex2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991332781244,1.0000008943291,1.0000000320169637,1.0000000295012494,2.925983627363629e-07,8.943291001095588e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RIndex3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991201411129,1.0000008753701168,1.0000000374203488,1.0000000376769993,2.909808082950989e-07,8.798588870817525e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RMiddle1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991719881572,1.00000090544209,1.0000000356138872,1.0000000366604993,2.9105479055940053e-07,9.054420899712312e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RMiddle2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991359346267,1.000000913144583,1.000000037015475,1.0000000371377493,2.908710449871568e-07,9.131445830590224e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RMiddle3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991760366606,1.0000009018200933,1.0000000344072482,1.0000000353264993,2.8995866033605105e-07,9.018200932686682e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RPinky1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999990823105789,1.000000930558067,1.0000000318474997,1.0000000307137495,2.9120611492538493e-07,9.305580670471159e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RPinky2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991808266645,1.0000009196245772,1.0000000322971105,1.0000000323412497,2.9042784833837173e-07,9.196245771558864e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RPinky3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999990953680908,1.000001007866492,1.000000032682605,1.0000000320747495,2.90596122732011e-07,1.0078664920420977e-06,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RRing1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991808331644,1.0000008838696093,1.0000000383255057,1.0000000372337494,2.9184441772333843e-07,8.83869609280552e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RRing2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991591441465,1.0000009598565394,1.0000000344487312,1.0000000332207495,2.902656144405969e-07,9.598565393620362e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RRing3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991892046713,1.0000008980925967,1.000000034772421,1.0000000336919994,2.905808400130822e-07,8.980925967350117e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RShin,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999216448193,1.0000008973930974,1.0000000402381173,1.0000000406289993,2.9135623166110717e-07,8.973930973876776e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RShoulder,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992021686817,1.0000007761921987,1.000000035355972,1.0000000326552496,2.9137573297518425e-07,7.97831318344322e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RThigh,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992270502013,1.000000811012671,1.0000000430733471,1.0000000450297488,2.908627926749628e-07,8.110126710203502e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RThumb1,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999155029643,1.0000008860151075,1.000000032382893,1.0000000342789994,2.919917674575922e-07,8.86015107504079e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RThumb2,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999088949585,1.0000009459575527,1.0000000327937697,1.0000000341169994,2.8995854547318924e-07,9.459575527337449e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RThumb3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991330571242,1.0000009504125482,1.0000000366081052,1.0000000353614995,2.901995767213918e-07,9.50412548217372e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RToe,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999993247207719,1.0000008420601454,1.0000000380773624,1.0000000372152493,2.9004807996591577e-07,8.420601453895671e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RUArm,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991954191764,1.0000009210830758,1.0000000351455063,1.0000000375082494,2.907718279689222e-07,9.210830758110689e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
