joint_id,parent_bone,child_bone,link_group,core_candidate,excluded_candidate,total_frames,non_finite_rotvec_rows,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,branch_cut_status,stage08_may_proceed_for_link
J035,RHand,RMiddle1,excluded,False,True,30356,0,1.7180388516489131,1.5335049537757475,1.6079803993198263,0,0.0,pass,True
J036,RMiddle1,RMiddle2,excluded,False,True,30356,0,2.0400011973623084,1.8329350019813657,1.9126279278175031,0,0.0,pass,True
J037,RMiddle2,RMiddle3,excluded,False,True,30356,0,0.8500022303046684,0.7637230367853043,0.7969278567789643,0,0.0,pass,True
J038,RHand,RPinky1,excluded,False,True,30356,0,1.7118993925179806,1.1941468120125514,1.3940190795096368,0,0.0,pass,True
J039,RPinky1,RPinky2,excluded,False,True,30356,0,2.0400016224919133,1.4221181142999795,1.6675604935680362,0,0.0,pass,True
J040,RPinky2,RPinky3,excluded,False,True,30356,0,0.8500014511495659,0.5925502306055459,0.6948171309231757,0,0.0,pass,True
J041,RHand,RRing1,excluded,False,True,30356,0,1.721972314737241,1.3631141733986811,1.5007548060868314,0,0.0,pass,True
J042,RRing1,RRing2,excluded,False,True,30356,0,2.040002381579839,1.6281763311597242,1.7886056137656572,0,0.0,pass,True
J043,RRing2,RRing3,excluded,False,True,30356,0,0.8500008443012166,0.6784064125512718,0.7452529548246666,0,0.0,pass,True
J044,RThigh,RShin,core_candidate,True,False,30356,0,2.383675745596917,1.4078615809991553,1.8655024277698207,0,0.0,pass,True
J045,Chest,RShoulder,core_candidate,True,False,30356,0,0.6837258044777625,0.5385550653012112,0.6777210605957698,0,0.0,pass,True
J046,671,RThigh,core_candidate,True,False,30356,0,1.6733802711241597,0.8660307973036648,1.36571984501292,0,0.0,pass,True
J047,RHand,RThumb1,excluded,False,True,30356,0,1.3989884249998787,1.2662107410580976,1.3088223325758608,0,0.0,pass,True
J048,RThumb1,RThumb2,excluded,False,True,30356,0,1.0355043470863854,0.8590731138837153,1.0256645777240319,0,0.0,pass,True
J049,RThumb2,RThumb3,excluded,False,True,30356,0,0.5000014570396186,0.26589248651422726,0.4192572330652424,0,0.0,pass,True
J050,RFoot,RToe,excluded,False,True,30356,0,0.29627566797996946,0.08209955295148154,0.14603522125202828,0,0.0,pass,True
J051,RShoulder,RUArm,core_candidate,True,False,30356,0,1.3785117225860755,1.2155339830729828,1.3069639154192934,0,0.0,pass,True
