session_id,run_label,template_name,link_id,parent_canonical,child_canonical,feature_scope,stage04_parent_qc_status,stage04_child_qc_status,stage05_parent_sign_status,stage05_child_sign_status,stage06_reconstruction_status,stage06_max_reconstruction_error_deg,stage06_relative_sign_status,stage07_branch_cut_status,stage07_max_rotvec_norm,stage07_jump_status,stage07_max_jump_rad,stage08_policy,notes
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J028,Chest,Neck,core_candidate,pass,pass,pass,pass,pass,2.6654412684798508e-14,pass,pass,0.6902318444484034,pass,0.05081281072322518,allow_filter,head/neck core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J029,RUArm,RFArm,core_candidate,pass,pass,pass,pass,pass,3.150667596472296e-14,pass,pass,2.4743873928737568,warning,0.7187676308631565,allow_filter_with_warning,forearm core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J030,RShin,RFoot,core_candidate,pass,pass,pass,pass,pass,2.6957146560180304e-14,pass,pass,1.2159385275307917,pass,0.1988696178668603,allow_filter,foot core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J031,RFArm,RHand,core_candidate,pass,pass,pass,pass,pass,2.9798753610842824e-14,pass,pass,1.8801974776333108,warning,0.7017348056699987,allow_filter_with_warning,hand core candidate (provisional V0)
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J032,RHand,RIndex1,excluded_distal,pass,pass,pass,pass,pass,3.525839604318466e-14,pass,pass,1.752432479570663,fail,1.6511186095817627,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J033,RIndex1,RIndex2,excluded_distal,pass,pass,pass,pass,pass,3.4739997422926096e-14,pass,pass,2.040002859469404,fail,1.9718061304534047,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J034,RIndex2,RIndex3,excluded_distal,pass,pass,pass,pass,pass,3.13599005358442e-14,pass,pass,0.8500027886870376,warning,0.8215848270749663,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J035,RHand,RMiddle1,excluded_distal,pass,pass,pass,pass,pass,3.6049951865483335e-14,pass,pass,1.7180388516489131,fail,1.2610165622862854,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J036,RMiddle1,RMiddle2,excluded_distal,pass,pass,pass,pass,pass,4.212123588984911e-14,pass,pass,2.0400011973623084,fail,1.5115201715580584,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J037,RMiddle2,RMiddle3,excluded_distal,pass,pass,pass,pass,pass,3.2198693299584955e-14,pass,pass,0.8500022303046684,warning,0.6297983938464198,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
