joint_id,parent_bone,child_bone,link_group,core_candidate,excluded_candidate,total_frames,non_finite_rotvec_rows,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,branch_cut_status,stage08_may_proceed_for_link
J015,LPinky2,LPinky3,excluded,False,True,31674,0,0.8500020222210971,0.32565298944554694,0.6869277274268181,0,0.0,pass,True
J016,LHand,LRing1,excluded,False,True,31674,0,1.6639770130945537,0.921446761814891,1.334669698960598,0,0.0,pass,True
J017,LRing1,LRing2,excluded,False,True,31674,0,1.9792167385605306,0.9379119140673031,1.4916161293125032,0,0.0,pass,True
J018,LRing2,LRing3,excluded,False,True,31674,0,0.8246719952074905,0.3907969265810353,0.6215057171264391,0,0.0,pass,True
J019,LThigh,LShin,core_candidate,True,False,31674,0,2.2832396476460013,1.000310690992377,1.726561583390015,0,0.0,pass,True
J020,Chest,LShoulder,core_candidate,True,False,31674,0,0.5120454551133731,0.28785155430139797,0.3646120372888389,0,0.0,pass,True
J021,T3_671,LThigh,core_candidate,True,False,31674,0,1.5667857230208229,0.7657384674176204,1.2298658112649437,0,0.0,pass,True
J022,LHand,LThumb1,excluded,False,True,31674,0,1.7109193564999574,1.518505319431348,1.6337076789454272,0,0.0,pass,True
J023,LThumb1,LThumb2,excluded,False,True,31674,0,1.490153895237477,1.0281433661795496,1.1705086775035747,0,0.0,pass,True
J024,LThumb2,LThumb3,excluded,False,True,31674,0,0.8792908647041807,0.41790099926915014,0.5596430940665701,0,0.0,pass,True
J025,LFoot,LToe,excluded,False,True,31674,0,0.4400397535554527,0.09018928703064806,0.15910917456006746,0,0.0,pass,True
J026,LShoulder,LUArm,core_candidate,True,False,31674,0,1.853717415119229,1.3099393501711705,1.4569007676867447,0,0.0,pass,True
J027,Chest,Neck,core_candidate,True,False,31674,0,0.6818734782470679,0.5411136170303565,0.6292938597979486,0,0.0,pass,True
J028,Neck,Neck2,review_provisional,False,False,31674,0,0.4430710721082179,0.349080388552962,0.43624705825905935,0,0.0,pass,True
J029,RUArm,RFArm,core_candidate,True,False,31674,0,2.531462982061305,2.2451482757970047,2.3807648344008348,0,0.0,pass,True
J030,RShin,RFoot,core_candidate,True,False,31674,0,1.2024426954878666,0.6256361829297076,0.8229548614668865,0,0.0,pass,True
J031,RFArm,RHand,core_candidate,True,False,31674,0,2.064915154945339,1.6850997818151576,1.7654596300521983,0,0.0,pass,False
J032,RHand,RIndex1,excluded,False,True,31674,0,0.994010521036161,0.6263218920126996,0.7304827397325222,0,0.0,pass,True
J033,RIndex1,RIndex2,excluded,False,True,31674,0,1.1135599710967905,0.5008962509032756,0.6980241720740585,0,0.0,pass,True
J034,RIndex2,RIndex3,excluded,False,True,31674,0,0.46398339747737277,0.20870721146406163,0.2908430362645274,0,0.0,pass,True
J035,RHand,RMiddle1,excluded,False,True,31674,0,1.1877303535900434,0.5177387685183493,0.6869687807839544,0,0.0,pass,True
J036,RMiddle1,RMiddle2,excluded,False,True,31674,0,1.4229914928120566,0.4909790894012098,0.771907224565542,0,0.0,pass,True
J037,RMiddle2,RMiddle3,excluded,False,True,31674,0,0.5929129867301778,0.20457552446131969,0.3216276904319616,0,0.0,pass,True
J038,RHand,RPinky1,excluded,False,True,31674,0,1.732602277655067,1.1533868750798169,1.7325988402788066,0,0.0,pass,False
J039,RPinky1,RPinky2,excluded,False,True,31674,0,2.040002240051733,1.3343481469171379,2.0400003100969903,0,0.0,pass,False
J040,RPinky2,RPinky3,excluded,False,True,31674,0,0.8500024892811515,0.555978385181257,0.8500000585798906,0,0.0,pass,True
J041,RHand,RRing1,excluded,False,True,31674,0,1.4426328047708292,0.7762202478246281,1.170644153816008,0,0.0,pass,True
J042,RRing1,RRing2,excluded,False,True,31674,0,1.7305678702492315,0.8641236964840842,1.3945574776870577,0,0.0,pass,False
J043,RRing2,RRing3,excluded,False,True,31674,0,0.7210721997806597,0.3600530872616717,0.58106450924865,0,0.0,pass,True
J044,RThigh,RShin,core_candidate,True,False,31674,0,2.09252543208501,1.0358890807275154,1.6351405014430376,0,0.0,pass,True
J045,Chest,RShoulder,core_candidate,True,False,31674,0,0.49894829071092023,0.3054866709371523,0.37860981146149325,0,0.0,pass,True
J046,T3_671,RThigh,core_candidate,True,False,31674,0,1.698167146562708,0.8427999955468208,1.3194865896611865,0,0.0,pass,True
J047,RHand,RThumb1,excluded,False,True,31674,0,1.6485116026822721,1.220848668945671,1.387371392026624,0,0.0,pass,True
J048,RThumb1,RThumb2,excluded,False,True,31674,0,1.4336175371310917,0.8826458952672521,1.2083067681820467,0,0.0,pass,True
J049,RThumb2,RThumb3,excluded,False,True,31674,0,0.822753679067526,0.3040258039573946,0.5974427915358924,0,0.0,pass,True
J050,RFoot,RToe,excluded,False,True,31674,0,0.2497360302161219,0.10417292114749378,0.1500417247638592,0,0.0,pass,True
J051,RShoulder,RUArm,core_candidate,True,False,31674,0,2.0899051308428604,1.5311052851134968,1.599966442271726,0,0.0,pass,True
J052,Ab,Spine2,review_provisional,False,False,31674,0,0.19505476003392064,0.14413481076488677,0.18654460334938608,0,0.0,pass,True
J053,Spine2,Spine3,review_provisional,False,False,31674,0,0.2559917627125021,0.215686574926937,0.2470893858520536,0,0.0,pass,True
J054,Spine3,Spine4,review_provisional,False,False,31674,0,0.18271987823135658,0.14543790473601864,0.17306133829942352,0,0.0,pass,True
