joint_id,parent_bone,child_bone,source_parent_bone,source_child_bone,included_in_v0,selection_status,requires_manual_review,link_classification,core_candidate,excluded_candidate,link_group,total_frames,finite_rotvec_rows,non_finite_rotvec_rows,min_rotvec_norm,mean_rotvec_norm,median_rotvec_norm,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,max_frame_to_frame_jump,p95_frame_to_frame_jump,p99_frame_to_frame_jump,large_jump_count,large_jump_percent,first_large_jump_frame,branch_cut_status,jump_status,stage08_may_proceed_for_link
J022,LHand,LThumb1,T3_671:LHand,T3_671:LThumb1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.8092168993000531,1.3155636063015168,1.3365603421426306,1.767540580965967,1.6565510772132972,1.7595593491660648,0,0.0,0.5736202735471074,0.03126773477257986,0.06767880454299717,1,0.0031856264534420695,16102.0,pass,warning,True
J023,LThumb1,LThumb2,T3_671:LThumb1,T3_671:LThumb2,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.11086285157467198,0.7339427228298461,0.5657734783931067,1.6108678888734052,1.6108653392894643,1.6108663218611212,0,0.0,0.3348256000327678,0.02592981661589873,0.05989297195125502,0,0.0,,pass,pass,True
J024,LThumb2,LThumb3,T3_671:LThumb2,T3_671:LThumb3,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,8.365317275212267e-05,0.38963529187771107,0.352517994355524,1.0000028330918627,1.0000001839745718,1.0000011853712332,0,0.0,0.33482391434079356,0.025929550603045214,0.05989152970034326,0,0.0,,pass,pass,True
J025,LFoot,LToe,T3_671:LFoot,T3_671:LToe,False,provisional_v0,True,toe,False,True,excluded,31392,31392,0,2.2396005072824754e-17,0.04449718136502093,0.04404690085003125,0.488555756563964,0.09742561334949887,0.1550581948615929,0,0.0,0.0848080007835456,0.004024317772006036,0.010034772925186017,0,0.0,,pass,pass,True
J026,LShoulder,LUArm,T3_671:LShoulder,T3_671:LUArm,True,provisional_v0,False,upper_arm,True,False,core_candidate,31392,31392,0,0.008064022178262204,1.0038392457499399,1.1073771597868456,1.8945261460544953,1.340407562002099,1.4665834101210808,0,0.0,0.40534503734800836,0.054048317446695034,0.0878202131537154,0,0.0,,pass,pass,True
J027,Chest,Neck,T3_671:Chest,T3_671:Neck,True,provisional_v0,False,head_neck,True,False,core_candidate,31392,31392,0,0.05545483983180048,0.3146475975219631,0.30349126429472306,0.6715262839586541,0.5224808376961084,0.6187672826050046,0,0.0,0.030869913586868948,0.009799838336918294,0.01512334495050624,0,0.0,,pass,pass,True
J028,Neck,Neck2,T3_671:Neck,T3_671:Neck2,True,provisional_v0,False,trunk_spine,False,False,review_provisional,31392,31392,0,0.013633971590227705,0.15505940610973554,0.11785071631637531,0.439590256168308,0.3523387533337626,0.41386462003922414,0,0.0,0.030847794507142774,0.00977640919788159,0.015103287150289527,0,0.0,,pass,pass,True
J029,RUArm,RFArm,T3_671:RUArm,T3_671:RFArm,True,provisional_v0,False,forearm,True,False,core_candidate,31392,31392,0,0.19068782473596116,1.1458453922190233,0.909847190255408,2.544320817949857,2.259822887920244,2.3776008429987656,0,0.0,0.3082039989043401,0.0508926223895358,0.09603928328546997,0,0.0,,pass,pass,True
J030,RShin,RFoot,T3_671:RShin,T3_671:RFoot,True,provisional_v0,False,foot,True,False,core_candidate,31392,31392,0,0.04014101926397756,0.2562723915138994,0.16858267281851158,1.0180231715697041,0.6231096589993715,0.8095202100122209,0,0.0,0.19670221722376585,0.023428176436031595,0.06108491198948797,0,0.0,,pass,pass,True
J031,RFArm,RHand,T3_671:RFArm,T3_671:RHand,True,provisional_v0,False,hand,True,False,core_candidate,31392,31392,0,0.7991034278138441,1.2466764532087606,1.1614551068168977,1.9033848314313897,1.6921921545313532,1.761281736293737,0,0.0,0.47544969432286815,0.04777645800672138,0.09725478202806247,0,0.0,,pass,pass,True
J032,RHand,RIndex1,T3_671:RHand,T3_671:RIndex1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.17646246037188557,0.380864674563441,0.3567064619477764,0.9894956994343278,0.5212635493791201,0.645185349140798,0,0.0,0.5683037541608051,0.014937837880186516,0.02597147374679,1,0.0031856264534420695,16102.0,pass,warning,True
J033,RIndex1,RIndex2,T3_671:RIndex1,T3_671:RIndex2,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,2.0196480573724886e-05,0.1458184521797263,0.12000100328686444,1.0636892917872427,0.38149354921604955,0.5553454672667268,0,0.0,0.6550975189084839,0.014581994556742908,0.02608044155984068,1,0.0031856264534420695,16102.0,pass,warning,True
J034,RIndex2,RIndex3,T3_671:RIndex2,T3_671:RIndex3,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,6.309905315201099e-06,0.06075768702575183,0.05000098824694704,0.44320262252165354,0.1589553209103872,0.2313942258753232,0,0.0,0.2729551330330527,0.006075805712117795,0.01086708970139544,0,0.0,,pass,pass,True
J035,RHand,RMiddle1,T3_671:RHand,T3_671:RMiddle1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.09887452622490286,0.29308335203006874,0.27569198190160393,0.7875062294246346,0.4095529771034189,0.5113532344997843,0,0.0,0.38771359308355025,0.00895268105887904,0.016081548717596695,0,0.0,,pass,pass,True
J036,RMiddle1,RMiddle2,T3_671:RMiddle1,T3_671:RMiddle2,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,1.6613205660499283e-05,0.153873841838351,0.1472901075158593,0.938769550826475,0.3399914188935951,0.48358137998403505,0,0.0,0.43054850413144374,0.008697469561793274,0.015109935464612317,0,0.0,,pass,pass,True
