column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
113,col0113__Bone__671_LMiddle1__Position__Z,Bone,671:LMiddle1,FFBF725EB1411F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
118,col0118__Bone__671_LMiddle2__Position__X,Bone,671:LMiddle2,FFBF726EB1411F0:90AFB54A3B8C3080,671:LMiddle1,Position,X,bone_position,False,Bone position ignored for Layer 2
119,col0119__Bone__671_LMiddle2__Position__Y,Bone,671:LMiddle2,FFBF726EB1411F0:90AFB54A3B8C3080,671:LMiddle1,Position,Y,bone_position,False,Bone position ignored for Layer 2
120,col0120__Bone__671_LMiddle2__Position__Z,Bone,671:LMiddle2,FFBF726EB1411F0:90AFB54A3B8C3080,671:LMiddle1,Position,Z,bone_position,False,Bone position ignored for Layer 2
125,col0125__Bone__671_LMiddle3__Position__X,Bone,671:LMiddle3,FFBF727EB1411F0:90AFB54A3B8C3080,671:LMiddle2,Position,X,bone_position,False,Bone position ignored for Layer 2
126,col0126__Bone__671_LMiddle3__Position__Y,Bone,671:LMiddle3,FFBF727EB1411F0:90AFB54A3B8C3080,671:LMiddle2,Position,Y,bone_position,False,Bone position ignored for Layer 2
127,col0127__Bone__671_LMiddle3__Position__Z,Bone,671:LMiddle3,FFBF727EB1411F0:90AFB54A3B8C3080,671:LMiddle2,Position,Z,bone_position,False,Bone position ignored for Layer 2
132,col0132__Bone__671_LRing1__Position__X,Bone,671:LRing1,FFBF729EB1411F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
133,col0133__Bone__671_LRing1__Position__Y,Bone,671:LRing1,FFBF729EB1411F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
134,col0134__Bone__671_LRing1__Position__Z,Bone,671:LRing1,FFBF729EB1411F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
139,col0139__Bone__671_LRing2__Position__X,Bone,671:LRing2,FFBF72AEB1411F0:90AFB54A3B8C3080,671:LRing1,Position,X,bone_position,False,Bone position ignored for Layer 2
140,col0140__Bone__671_LRing2__Position__Y,Bone,671:LRing2,FFBF72AEB1411F0:90AFB54A3B8C3080,671:LRing1,Position,Y,bone_position,False,Bone position ignored for Layer 2
141,col0141__Bone__671_LRing2__Position__Z,Bone,671:LRing2,FFBF72AEB1411F0:90AFB54A3B8C3080,671:LRing1,Position,Z,bone_position,False,Bone position ignored for Layer 2
146,col0146__Bone__671_LRing3__Position__X,Bone,671:LRing3,FFBF72BEB1411F0:90AFB54A3B8C3080,671:LRing2,Position,X,bone_position,False,Bone position ignored for Layer 2
147,col0147__Bone__671_LRing3__Position__Y,Bone,671:LRing3,FFBF72BEB1411F0:90AFB54A3B8C3080,671:LRing2,Position,Y,bone_position,False,Bone position ignored for Layer 2
148,col0148__Bone__671_LRing3__Position__Z,Bone,671:LRing3,FFBF72BEB1411F0:90AFB54A3B8C3080,671:LRing2,Position,Z,bone_position,False,Bone position ignored for Layer 2
153,col0153__Bone__671_LPinky1__Position__X,Bone,671:LPinky1,FFBF72DEB1411F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
