source_bone_name,canonical_bone_name,component,column_index,flat_name
671:RThumb3,RThumb3,Y,213,col0213__Bone__671_RThumb3__Rotation__Y
671:RThumb3,RThumb3,Z,214,col0214__Bone__671_RThumb3__Rotation__Z
671:RThumb3,RThumb3,W,215,col0215__Bone__671_RThumb3__Rotation__W
671:RIndex1,RIndex1,X,219,col0219__Bone__671_RIndex1__Rotation__X
671:RIndex1,RIndex1,Y,220,col0220__Bone__671_RIndex1__Rotation__Y
671:RIndex1,RIndex1,Z,221,col0221__Bone__671_RIndex1__Rotation__Z
671:RIndex1,RIndex1,W,222,col0222__Bone__671_RIndex1__Rotation__W
671:RIndex2,RIndex2,X,226,col0226__Bone__671_RIndex2__Rotation__X
671:RIndex2,RIndex2,Y,227,col0227__Bone__671_RIndex2__Rotation__Y
671:RIndex2,RIndex2,Z,228,col0228__Bone__671_RIndex2__Rotation__Z
671:RIndex2,RIndex2,W,229,col0229__Bone__671_RIndex2__Rotation__W
671:RIndex3,RIndex3,X,233,col0233__Bone__671_RIndex3__Rotation__X
671:RIndex3,RIndex3,Y,234,col0234__Bone__671_RIndex3__Rotation__Y
671:RIndex3,RIndex3,Z,235,col0235__Bone__671_RIndex3__Rotation__Z
671:RIndex3,RIndex3,W,236,col0236__Bone__671_RIndex3__Rotation__W
671:RMiddle1,RMiddle1,X,240,col0240__Bone__671_RMiddle1__Rotation__X
671:RMiddle1,RMiddle1,Y,241,col0241__Bone__671_RMiddle1__Rotation__Y
671:RMiddle1,RMiddle1,Z,242,col0242__Bone__671_RMiddle1__Rotation__Z
671:RMiddle1,RMiddle1,W,243,col0243__Bone__671_RMiddle1__Rotation__W
671:RMiddle2,RMiddle2,X,247,col0247__Bone__671_RMiddle2__Rotation__X
671:RMiddle2,RMiddle2,Y,248,col0248__Bone__671_RMiddle2__Rotation__Y
671:RMiddle2,RMiddle2,Z,249,col0249__Bone__671_RMiddle2__Rotation__Z
671:RMiddle2,RMiddle2,W,250,col0250__Bone__671_RMiddle2__Rotation__W
671:RMiddle3,RMiddle3,X,254,col0254__Bone__671_RMiddle3__Rotation__X
671:RMiddle3,RMiddle3,Y,255,col0255__Bone__671_RMiddle3__Rotation__Y
671:RMiddle3,RMiddle3,Z,256,col0256__Bone__671_RMiddle3__Rotation__Z
671:RMiddle3,RMiddle3,W,257,col0257__Bone__671_RMiddle3__Rotation__W
671:RRing1,RRing1,X,261,col0261__Bone__671_RRing1__Rotation__X
671:RRing1,RRing1,Y,262,col0262__Bone__671_RRing1__Rotation__Y
671:RRing1,RRing1,Z,263,col0263__Bone__671_RRing1__Rotation__Z
671:RRing1,RRing1,W,264,col0264__Bone__671_RRing1__Rotation__W
671:RRing2,RRing2,X,268,col0268__Bone__671_RRing2__Rotation__X
671:RRing2,RRing2,Y,269,col0269__Bone__671_RRing2__Rotation__Y
671:RRing2,RRing2,Z,270,col0270__Bone__671_RRing2__Rotation__Z
671:RRing2,RRing2,W,271,col0271__Bone__671_RRing2__Rotation__W
671:RRing3,RRing3,X,275,col0275__Bone__671_RRing3__Rotation__X
671:RRing3,RRing3,Y,276,col0276__Bone__671_RRing3__Rotation__Y
671:RRing3,RRing3,Z,277,col0277__Bone__671_RRing3__Rotation__Z
671:RRing3,RRing3,W,278,col0278__Bone__671_RRing3__Rotation__W
671:RPinky1,RPinky1,X,282,col0282__Bone__671_RPinky1__Rotation__X
671:RPinky1,RPinky1,Y,283,col0283__Bone__671_RPinky1__Rotation__Y
671:RPinky1,RPinky1,Z,284,col0284__Bone__671_RPinky1__Rotation__Z
671:RPinky1,RPinky1,W,285,col0285__Bone__671_RPinky1__Rotation__W
671:RPinky2,RPinky2,X,289,col0289__Bone__671_RPinky2__Rotation__X
671:RPinky2,RPinky2,Y,290,col0290__Bone__671_RPinky2__Rotation__Y
671:RPinky2,RPinky2,Z,291,col0291__Bone__671_RPinky2__Rotation__Z
671:RPinky2,RPinky2,W,292,col0292__Bone__671_RPinky2__Rotation__W
671:RPinky3,RPinky3,X,296,col0296__Bone__671_RPinky3__Rotation__X
671:RPinky3,RPinky3,Y,297,col0297__Bone__671_RPinky3__Rotation__Y
671:RPinky3,RPinky3,Z,298,col0298__Bone__671_RPinky3__Rotation__Z
671:RPinky3,RPinky3,W,299,col0299__Bone__671_RPinky3__Rotation__W
671:LThigh,LThigh,X,303,col0303__Bone__671_LThigh__Rotation__X
671:LThigh,LThigh,Y,304,col0304__Bone__671_LThigh__Rotation__Y
671:LThigh,LThigh,Z,305,col0305__Bone__671_LThigh__Rotation__Z
671:LThigh,LThigh,W,306,col0306__Bone__671_LThigh__Rotation__W
671:LShin,LShin,X,310,col0310__Bone__671_LShin__Rotation__X
671:LShin,LShin,Y,311,col0311__Bone__671_LShin__Rotation__Y
671:LShin,LShin,Z,312,col0312__Bone__671_LShin__Rotation__Z
671:LShin,LShin,W,313,col0313__Bone__671_LShin__Rotation__W
671:LFoot,LFoot,X,317,col0317__Bone__671_LFoot__Rotation__X
671:LFoot,LFoot,Y,318,col0318__Bone__671_LFoot__Rotation__Y
671:LFoot,LFoot,Z,319,col0319__Bone__671_LFoot__Rotation__Z
671:LFoot,LFoot,W,320,col0320__Bone__671_LFoot__Rotation__W
671:LToe,LToe,X,324,col0324__Bone__671_LToe__Rotation__X
671:LToe,LToe,Y,325,col0325__Bone__671_LToe__Rotation__Y
671:LToe,LToe,Z,326,col0326__Bone__671_LToe__Rotation__Z
671:LToe,LToe,W,327,col0327__Bone__671_LToe__Rotation__W
671:RThigh,RThigh,X,331,col0331__Bone__671_RThigh__Rotation__X
671:RThigh,RThigh,Y,332,col0332__Bone__671_RThigh__Rotation__Y
671:RThigh,RThigh,Z,333,col0333__Bone__671_RThigh__Rotation__Z
671:RThigh,RThigh,W,334,col0334__Bone__671_RThigh__Rotation__W
671:RShin,RShin,X,338,col0338__Bone__671_RShin__Rotation__X
671:RShin,RShin,Y,339,col0339__Bone__671_RShin__Rotation__Y
671:RShin,RShin,Z,340,col0340__Bone__671_RShin__Rotation__Z
671:RShin,RShin,W,341,col0341__Bone__671_RShin__Rotation__W
671:RFoot,RFoot,X,345,col0345__Bone__671_RFoot__Rotation__X
671:RFoot,RFoot,Y,346,col0346__Bone__671_RFoot__Rotation__Y
671:RFoot,RFoot,Z,347,col0347__Bone__671_RFoot__Rotation__Z
671:RFoot,RFoot,W,348,col0348__Bone__671_RFoot__Rotation__W
671:RToe,RToe,X,352,col0352__Bone__671_RToe__Rotation__X
671:RToe,RToe,Y,353,col0353__Bone__671_RToe__Rotation__Y
671:RToe,RToe,Z,354,col0354__Bone__671_RToe__Rotation__Z
671:RToe,RToe,W,355,col0355__Bone__671_RToe__Rotation__W
