column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
46,col0046__Bone__671_LUArm__Rotation__Z,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
47,col0047__Bone__671_LUArm__Rotation__W,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
48,col0048__Bone__671_LUArm__Position__X,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Position,X,bone_position,False,Bone position ignored for Layer 2
49,col0049__Bone__671_LUArm__Position__Y,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Position,Y,bone_position,False,Bone position ignored for Layer 2
50,col0050__Bone__671_LUArm__Position__Z,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Position,Z,bone_position,False,Bone position ignored for Layer 2
51,col0051__Bone__671_LFArm__Rotation__X,Bone,671:LFArm,FA716B50F22E11F0:90AFB54A3B8C3080,671:LUArm,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
52,col0052__Bone__671_LFArm__Rotation__Y,Bone,671:LFArm,FA716B50F22E11F0:90AFB54A3B8C3080,671:LUArm,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
53,col0053__Bone__671_LFArm__Rotation__Z,Bone,671:LFArm,FA716B50F22E11F0:90AFB54A3B8C3080,671:LUArm,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
54,col0054__Bone__671_LFArm__Rotation__W,Bone,671:LFArm,FA716B50F22E11F0:90AFB54A3B8C3080,671:LUArm,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
55,col0055__Bone__671_LFArm__Position__X,Bone,671:LFArm,FA716B50F22E11F0:90AFB54A3B8C3080,671:LUArm,Position,X,bone_position,False,Bone position ignored for Layer 2
56,col0056__Bone__671_LFArm__Position__Y,Bone,671:LFArm,FA716B50F22E11F0:90AFB54A3B8C3080,671:LUArm,Position,Y,bone_position,False,Bone position ignored for Layer 2
57,col0057__Bone__671_LFArm__Position__Z,Bone,671:LFArm,FA716B50F22E11F0:90AFB54A3B8C3080,671:LUArm,Position,Z,bone_position,False,Bone position ignored for Layer 2
58,col0058__Bone__671_LHand__Rotation__X,Bone,671:LHand,FA716B51F22E11F0:90AFB54A3B8C3080,671:LFArm,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
59,col0059__Bone__671_LHand__Rotation__Y,Bone,671:LHand,FA716B51F22E11F0:90AFB54A3B8C3080,671:LFArm,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
60,col0060__Bone__671_LHand__Rotation__Z,Bone,671:LHand,FA716B51F22E11F0:90AFB54A3B8C3080,671:LFArm,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
61,col0061__Bone__671_LHand__Rotation__W,Bone,671:LHand,FA716B51F22E11F0:90AFB54A3B8C3080,671:LFArm,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
62,col0062__Bone__671_LHand__Position__X,Bone,671:LHand,FA716B51F22E11F0:90AFB54A3B8C3080,671:LFArm,Position,X,bone_position,False,Bone position ignored for Layer 2
63,col0063__Bone__671_LHand__Position__Y,Bone,671:LHand,FA716B51F22E11F0:90AFB54A3B8C3080,671:LFArm,Position,Y,bone_position,False,Bone position ignored for Layer 2
64,col0064__Bone__671_LHand__Position__Z,Bone,671:LHand,FA716B51F22E11F0:90AFB54A3B8C3080,671:LFArm,Position,Z,bone_position,False,Bone position ignored for Layer 2
65,col0065__Bone__671_LThumb1__Rotation__X,Bone,671:LThumb1,FA716B5EF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
66,col0066__Bone__671_LThumb1__Rotation__Y,Bone,671:LThumb1,FA716B5EF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
67,col0067__Bone__671_LThumb1__Rotation__Z,Bone,671:LThumb1,FA716B5EF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
68,col0068__Bone__671_LThumb1__Rotation__W,Bone,671:LThumb1,FA716B5EF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
