session_id,run_label,marker_or_entity,normalized_marker_name,body_region_group,side,attached_bone,attached_bone_canonical,joint_family,adjacent_joint_family,mapping_source,mapping_confidence,mapping_version,template_mapping_status,n_events,n_frames_affected,gap_0p5_frames,gap_0p2_frames,artifact_sigma_frames,segment_swap_frames,severity_summary,recommendation_impact,notes
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16134,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16135,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16136,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16137,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16138,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16139,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16140,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16141,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16142,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16143,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16144,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16145,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16146,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
