relative_path,size_bytes,checksum,possible_duplicate_group,duplicate_of,confidence,recommendation,notes
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_180044/batch_manifest.csv,571,a6bd426db787ad9077f242c4f0fe38c7be89245e97bce0a573d51f28de320c0a,l3_batch_gaga_batch_jcvpca_20260626_180044,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_180044/batch_summary.md,358,5888d9e54986ea1262d72ce78feaeed7119bc08dc54bccf6d7767ceb035c6fa4,l3_batch_gaga_batch_jcvpca_20260626_180044,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_180044/comparison_plan.csv,1891,1b449fa30a3b5204ad689d870aa6e3e1451cd5119d6c6a6c804c4494506cc842,l3_batch_gaga_batch_jcvpca_20260626_180044,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_180044/comparison_status.csv,4539,df3e3c9d3906144a8af25a47b5aa5fcbbcc68584d08196d9300caee847888fbf,l3_batch_gaga_batch_jcvpca_20260626_180044,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_180044/jcvpca_link_results.csv,43395,943f5d635b16803fc9405d9f38baa4b628f320900ce5f5174bc51b8852f80188,l3_batch_gaga_batch_jcvpca_20260626_180044,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/batch_manifest.csv,572,bba67c2e0f941aa71c03dbe03cb53c4b5c76333051c35e83acf0de74f5c9f86e,l3_batch_gaga_batch_jcvpca_20260626_193110,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/batch_summary.md,333,e431c487e16abc0347b7e24c59e5a1916f67f49ba702257750ca712eab389800,l3_batch_gaga_batch_jcvpca_20260626_193110,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparison_plan.csv,1907,bf1045f7d8b5dfc47e27169132ebe0a0ba6764fa0fb59ae89acf94908caea513,l3_batch_gaga_batch_jcvpca_20260626_193110,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparison_status.csv,5540,442b1f0e9cd3f159058a1036a89d47ecc547a61668c686245e30805774553d94,l3_batch_gaga_batch_jcvpca_20260626_193110,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/jcvpca_link_results.csv,375708,fa0f585cbb520ade7f441f7505536883367cfa23b9bf9404b009113b471882b1,l3_batch_gaga_batch_jcvpca_20260626_193110,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193235/batch_manifest.csv,563,c63a4feed08b13396bee5c03e19ce157eb0d78ae828b34292f37fa11dcf63a1d,l3_batch_gaga_batch_jcvpca_20260626_193235,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193235/batch_summary.md,333,3d262f9cfc6ff7b21125ed2eb8c7741f8c23ce003ecd940bd9059a9d5386227a,l3_batch_gaga_batch_jcvpca_20260626_193235,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193235/comparison_plan.csv,1045,4cac955470089abab86894fc80e7df0294a3bd8b4c588e5e2fdb3219dba836fc,l3_batch_gaga_batch_jcvpca_20260626_193235,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193235/comparison_status.csv,2871,161ec54edcb9bec19956652aab3216a3d586d767ca36f923ccbec53319b1b724,l3_batch_gaga_batch_jcvpca_20260626_193235,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193235/jcvpca_link_results.csv,160226,577c932cf6e1d5800703b888b979cf33624987b6fee3c0889c52a504230179c8,l3_batch_gaga_batch_jcvpca_20260626_193235,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/batch_manifest.csv,572,52694b74cbb9c348d2413809b36a368d61557347aafdf565c3ee4c6ec715e7c1,l3_batch_gaga_batch_jcvpca_20260626_193319,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/batch_summary.md,887,f2332aacc7f96557784a1dcdc435da4d54a1d40ec4cfdaa44129010278ad3f31,l3_batch_gaga_batch_jcvpca_20260626_193319,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/comparison_plan.csv,1907,bf1045f7d8b5dfc47e27169132ebe0a0ba6764fa0fb59ae89acf94908caea513,l3_batch_gaga_batch_jcvpca_20260626_193319,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/comparison_status.csv,5540,e240b7d810fb3e5bebdc2452e86bcf01a11cb63ca2897a1a1b7b477cf4a2b127,l3_batch_gaga_batch_jcvpca_20260626_193319,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/jcvpca_link_results.csv,375708,fa0f585cbb520ade7f441f7505536883367cfa23b9bf9404b009113b471882b1,l3_batch_gaga_batch_jcvpca_20260626_193319,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/gaga_batch_interpretation_report.md,1802,2c335b26ce4cb76c794e3c6fa88dbc5da4a3b18d0ffe750e963f5f33b44279e8,l3_batch_gaga_batch_jcvpca_20260626_193319,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/FINAL_integrated_deep_review_after_p50_p60.md,30402,c79c66d4167ebd10858f23f28be867d17452e9b8bcadbd83e086200ea70af715,l3_batch_gaga_batch_jcvpca_20260626_193319,,high,keep_active,full_sha256
outputs/poster_final_figures/figure_A_plot_table.csv,2407,90ed9bc30383d7d781dbf3fe88956af8f9d6f400927ac28792cbeaa0f89f383c,poster_outputs,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/poster_ready_evidence_package/natural_variability_scalar_poster_table.csv,14698,ae1668f609d4a780ed3e923527308ad5e8fb4efb82b6ec9e51826d8cc00d2453,poster_outputs,,high,keep_active,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/poster_plot_shortlist.md,1988,46b85e00f43bcfa3e5c3c05e1eed16ddad88a716e3b4767201f6d9e6e716c19c,poster_outputs,,high,keep_active,full_sha256
671_test_data_des/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,243392835,a2cd58f0ea61f5065d56321abde944228b6e3f7bba0e044b6214cba46a3b780f,raw_671_T1_P1_R1,,high,verify_manually,full_sha256; NOT duplicate of Layer1 (50MB) or Layer2 (225MB) copies — likely distinct Motive export type
Layer1_motive_qc/motive_qc/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,50558677,4b1b93612ec07d88c244dd0d56ff703250ffe2700cc316878aa56da51c79597e,raw_671_T1_P1_R1,Layer1_motive_qc/motive_qc/data/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,high,keep_active,full_sha256
Layer1_motive_qc/motive_qc/data/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,50558677,4b1b93612ec07d88c244dd0d56ff703250ffe2700cc316878aa56da51c79597e,raw_671_T1_P1_R1,Layer1_motive_qc/motive_qc/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,high,keep_active,full_sha256
Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,225224260,cfdf2916a3def249d8d5f1361df4a4a368e4b44109872ca984646135dc3996cb,raw_671_T1_P1_R1,,high,keep_active,full_sha256
Layer2.5_Segmentation/reevluate_project/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,50558677,4b1b93612ec07d88c244dd0d56ff703250ffe2700cc316878aa56da51c79597e,raw_671_T1_P1_R1,Layer1_motive_qc/motive_qc/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,high,archive_later,full_sha256
