start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
23211,23228,193.425,193.5667,0.1417,SEGMENT_SWAP,segment_swap,RKneeOut__RThighSide,False,False,False,True,False
24181,24181,201.5083,201.5083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop,False,False,True,False,False
24597,24597,204.975,204.975,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistLFront,False,False,True,False,False
24880,24913,207.3333,207.6083,0.275,GAP_GE_0P2,gaps_over_0p2,671:LKneeOut,False,True,False,False,False
24914,24914,207.6167,207.6167,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LFArm;671:LKneeOut,False,True,True,False,False
24915,24930,207.625,207.75,0.125,GAP_GE_0P2,gaps_over_0p2,671:LKneeOut,False,True,False,False,False
24978,25009,208.15,208.4083,0.2583,GAP_GE_0P2,gaps_over_0p2,671:LFArm;671:LHandIn;671:RHandIn,False,True,False,False,False
25010,25010,208.4167,208.4167,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LFArm;671:LShoulderTop;671:RHandIn,False,True,True,False,False
25011,25011,208.425,208.425,0.0,GAP_GE_0P2,gaps_over_0p2,671:LFArm;671:RHandIn,False,True,False,False,False
25051,25051,208.7583,208.7583,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistLFront,False,False,True,False,False
25069,25069,208.9083,208.9083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop,False,False,True,False,False
25073,25105,208.9417,209.2083,0.2667,GAP_GE_0P2,gaps_over_0p2,671:RFArm;671:RHandIn,False,True,False,False,False
25118,25118,209.3167,209.3167,0.0,ARTIFACT_SIGMA,artifact_sigma,671:HeadLeft,False,False,True,False,False
25144,25144,209.5333,209.5333,0.0,SEGMENT_SWAP,segment_swap,LHandIn__LHandOut,False,False,False,True,False
25495,25495,212.4583,212.4583,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LShin,False,False,True,False,False
25499,25503,212.4917,212.525,0.0333,ARTIFACT_SIGMA,artifact_sigma,671:LAnkleOut;671:LHeel;671:LShin;671:LToeIn;671:LToeOut;671:RHandIn,False,False,True,False,False
25524,25525,212.7,212.7083,0.0083,ARTIFACT_SIGMA,artifact_sigma,671:LThighSide;671:WaistLBack,False,False,True,False,False
25890,25890,215.75,215.75,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistRFront,False,False,True,False,False
27096,27096,225.8,225.8,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistLBack,False,False,True,False,False
27854,27856,232.1167,232.1333,0.0167,SEGMENT_SWAP,segment_swap,LHandIn__LHandOut,False,False,False,True,False
28496,28502,237.4667,237.5167,0.05,SEGMENT_SWAP,segment_swap,RKneeOut__RThighSide,False,False,False,True,False
28641,28641,238.675,238.675,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LToeTip,False,False,True,False,False
28662,28662,238.85,238.85,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LKneeOut,False,False,True,False,False
28697,28697,239.1417,239.1417,0.0,ARTIFACT_SIGMA,artifact_sigma,671:BackTop,False,False,True,False,False
28699,28700,239.1583,239.1667,0.0083,ARTIFACT_SIGMA,artifact_sigma,671:BackTop;671:LShoulderBack,False,False,True,False,False
28703,28703,239.1917,239.1917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LShoulderBack,False,False,True,False,False
28705,28705,239.2083,239.2083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:BackTop;671:LShoulderBack;671:RShoulderBack,False,False,True,False,False
28719,28720,239.325,239.3333,0.0083,ARTIFACT_SIGMA,artifact_sigma,671:RShoulderBack;671:RShoulderTop,False,False,True,False,False
28726,28726,239.3833,239.3833,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistCBack,False,False,True,False,False
28732,28732,239.4333,239.4333,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistCBack,False,False,True,False,False
28744,28745,239.5333,239.5417,0.0083,SEGMENT_SWAP,segment_swap,RHandIn__RHandOut,False,False,False,True,False
28765,28765,239.7083,239.7083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RThighSide,False,False,True,False,False
28767,28767,239.725,239.725,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RThighFront,False,False,True,False,False
28829,28829,240.2417,240.2417,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestTop,False,False,True,False,False
28886,28886,240.7167,240.7167,0.0,SEGMENT_SWAP,segment_swap,RHandIn__RHandOut,False,False,False,True,False
28887,28887,240.725,240.725,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RHandIn,False,False,True,False,False
29005,29006,241.7083,241.7167,0.0083,ARTIFACT_SIGMA,artifact_sigma,671:RThighFront;671:WaistRBack,False,False,True,False,False
29024,29024,241.8667,241.8667,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LFArm,False,False,True,False,False
29039,29039,241.9917,241.9917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RThighSide,False,False,True,False,False
29130,29130,242.75,242.75,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LThighFront,False,False,True,False,False
29166,29166,243.05,243.05,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LThighFront,False,False,True,False,False
29177,29177,243.1417,243.1417,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LToeTip,False,False,True,False,False
29179,29179,243.1583,243.1583,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LToeOut,False,False,True,False,False
29184,29184,243.2,243.2,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LThighFront,False,False,True,False,False
29232,29232,243.6,243.6,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LFArm;671:LHandOut;671:LWristOut,False,False,True,False,False
