Skeleton,T3_671,51,
Marker,T3_671_RHandOut,all,
Marker,T3_671_RHandIn,all,
Marker,T3_671_RThumb,all,
Marker,T3_671_RIndex,all,
Marker,T3_671_RPinky,all,
Marker,T3_671_LThighFront,all,
Marker,T3_671_LThighSide,all,
Marker,T3_671_LKneeOut,all,
Marker,T3_671_LShin,all,
Marker,T3_671_LAnkleOut,all,
Marker,T3_671_LHeel,all,
Marker,T3_671_LToeIn,all,
Marker,T3_671_LToeOut,all,
Marker,T3_671_LToeTip,all,
Marker,T3_671_RThighFront,all,
Marker,T3_671_RThighSide,all,
Marker,T3_671_RKneeOut,all,
Marker,T3_671_RShin,all,
Marker,T3_671_RAnkleOut,all,
Marker,T3_671_RHeel,all,
Marker,T3_671_RToeIn,all,
Marker,T3_671_RToeOut,all,
Marker,T3_671_RToeTip,all,
Camera,Prime 17W #82387,2.741642,1.603440,3.019666,-0.313852,0.200619,-0.651972,0.660440,
Camera,Prime 17W #82389,3.001506,1.654621,-2.333624,0.714709,-0.577587,0.207485,-0.335462,
Camera,Prime 17W #82391,3.153067,1.506197,0.381184,0.449589,0.499220,0.559639,0.485234,
Camera,Prime 17W #82392,-2.797440,1.558504,-2.390371,0.679604,0.613886,-0.256554,-0.308970,
Camera,Prime 17W #82393,-0.064320,1.591718,-2.891446,0.721354,-0.677591,-0.112584,-0.088566,
Camera,Prime 17W #82395,-2.660972,1.594988,2.739526,-0.347975,-0.216118,0.624416,0.665064,
Camera,Prime 17W #82401,-2.942152,1.575634,0.604029,-0.536238,-0.372004,0.475155,0.590160,
Camera,PrimeX 22 #118514,0.442174,1.290365,3.931496,-0.088672,0.023624,-0.003592,0.995774,
