source_bone_name,has_complete_xyzw_columns,total_frames,finite_row_count,non_finite_row_count,missing_x_count,missing_y_count,missing_z_count,missing_w_count,complete_xyzw_row_count,complete_xyzw_percent,min_norm,max_norm,mean_norm,median_norm,std_norm,max_abs_norm_error,norm_outside_tolerance_count,norm_outside_tolerance_percent,zero_norm_count,near_zero_norm_count,invalid_row_count,first_invalid_row_index,last_invalid_row_index,first_invalid_frame,last_invalid_frame,invalid_gap_count,longest_invalid_gap_length,qc_status,qc_fail_reasons,qc_warning_reasons,stage05_may_proceed
671:LThigh,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992914107491,1.0000007744177002,1.0000000375747826,1.0000000372169993,2.921482405916217e-07,7.744177001889341e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LThumb1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991894351715,1.0000009025185927,1.0000000307209587,1.0000000312704995,2.902754387268416e-07,9.025185927491464e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LThumb2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991442001338,1.0000009248180723,1.0000000303418122,1.0000000288829995,2.9089343253321877e-07,9.248180723453459e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LThumb3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999990581105564,1.0000009460025525,1.000000028352016,1.0000000264899995,2.8914743751033697e-07,9.460025525154236e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LToe,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999993126372637,1.00000079991018,1.0000000382898662,1.0000000370884992,2.8998123876749825e-07,7.999101800937325e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LUArm,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991629281496,1.0000009519605468,1.0000000357499577,1.0000000324034994,2.895222737875746e-07,9.519605468355508e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Neck,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992739467364,1.0000007597482112,1.0000000376696594,1.0000000379079994,2.9097360141976555e-07,7.597482112320364e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RFArm,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991446736343,1.0000009085745873,1.0000000330190415,1.0000000349609994,2.900249584542075e-07,9.085745873438356e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RFoot,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992926987499,1.0000008304491552,1.0000000416698862,1.000000041488499,2.924494524679011e-07,8.304491552202364e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RHand,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991137811073,1.0000009187785779,1.0000000346155198,1.0000000355539993,2.9171271020193323e-07,9.187785778852486e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RIndex1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991162226095,1.0000009050645904,1.0000000313877635,1.0000000286294997,2.9083496351481886e-07,9.050645903840859e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RIndex2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991567171443,1.000000897873097,1.0000000339608945,1.0000000346124993,2.9127133959812144e-07,8.978730969833038e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RIndex3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991530806414,1.0000009027060925,1.0000000298207188,1.0000000293494997,2.911242846738533e-07,9.027060925426156e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RMiddle1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991385081289,1.000000892402102,1.0000000335306871,1.0000000334024994,2.901421997192436e-07,8.924021019929285e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
