input_file,joint_id,source_parent_bone,source_child_bone,parent_bone,child_bone,included_in_v0,selection_status,requires_manual_review,link_classification,core_candidate,excluded_candidate,parent_segment_role,child_segment_role,terminology_note,motive_skeleton_template,reconstruction_max_error_deg,reconstruction_p99_error_deg,raw_relative_sign_flip_count,corrected_relative_sign_flip_count,post_correction_valid,gate_status
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J037,671:RMiddle2,671:RMiddle3,RMiddle2,RMiddle3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.7173630562410262e-14,1.9177492138691195e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J038,671:RHand,671:RPinky1,RHand,RPinky1,False,provisional_v0,False,finger,False,True,core_limb_or_head_neck,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.0874531645957613e-14,1.9405196451763222e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J039,671:RPinky1,671:RPinky2,RPinky1,RPinky2,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.3809501829303385e-14,1.9755295042963675e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J040,671:RPinky2,671:RPinky3,RPinky2,RPinky3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.863185594459137e-14,1.878121573180882e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J041,671:RHand,671:RRing1,RHand,RRing1,False,provisional_v0,False,finger,False,True,core_limb_or_head_neck,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.6058402787618596e-14,1.8928988105063736e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J042,671:RRing1,671:RRing2,RRing1,RRing2,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.0959285214401764e-14,1.9306744730699337e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J043,671:RRing2,671:RRing3,RRing2,RRing3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.0676512126551987e-14,1.873151086121255e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J044,671:RThigh,671:RShin,RThigh,RShin,True,provisional_v0,False,shin,True,False,core_limb_or_head_neck,core_limb_or_head_neck,shin core candidate,Core + Passive Fingers (54),2.6853477132647743e-14,1.2015060864258588e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J045,671:Chest,671:RShoulder,Chest,RShoulder,True,provisional_v0,False,shoulder,True,False,trunk_spine_provisional,core_limb_or_head_neck,shoulder core candidate,Core + Passive Fingers (54),2.9533507978294e-14,1.2050435001854044e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J046,671:671,671:RThigh,671,RThigh,True,provisional_v0,False,hip_top_segment_to_thigh,True,False,motive_hip_top_segment,core_limb_or_head_neck,Defensible Motive hip/top-segment-to-thigh link: asset-name-labeled Motive hip/top skeleton segment (`671`); Motive documents this as the skeleton hip; export naming may follow Asset Hip Name,Core + Passive Fingers (54),2.3434667868328033e-14,1.0414173355408264e-14,0,0,True,core_pass
