marker_name,is_labeled,is_unlabeled,body_region_group,n_gaps_total,n_single_frame_gaps,longest_gap_frames,longest_gap_seconds,n_gaps_ge_0p025s,n_gaps_ge_0p1s,n_gaps_ge_0p2s,n_gaps_ge_0p5s,n_gaps_ge_1p0s,missing_percent,quality_label
671:RHandIn,True,False,wrist_hand,22,14,28,0.233333,5,2,1,0,0,0.280011,clean
671:RHandOut,True,False,wrist_hand,1,1,1,0.008333,0,0,0,0,0,0.003294,clean
671:RHeel,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RIndex,True,False,fingers,75,31,33,0.275,33,9,2,0,0,1.116748,minor_issue
671:RKneeOut,True,False,thigh_knee,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RPinky,True,False,fingers,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RShin,True,False,shank_ankle,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RShoulderBack,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RShoulderTop,True,False,shoulder_upper_arm,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RThighFront,True,False,thigh_knee,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RThighSide,True,False,thigh_knee,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RThumb,True,False,fingers,16,7,17,0.141667,8,2,0,0,0,0.289893,clean
671:RToeIn,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RToeOut,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RToeTip,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RUArmHigh,True,False,shoulder_upper_arm,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RWristOut,True,False,wrist_hand,1,1,1,0.008333,0,0,0,0,0,0.003294,clean
671:WaistCBack,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:WaistLBack,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:WaistLFront,True,False,pelvis_waist,3,0,45,0.375,2,2,1,0,0,0.200949,clean
671:WaistRBack,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:WaistRFront,True,False,pelvis_waist,1,0,27,0.225,1,1,1,0,0,0.088945,clean
Unlabeled 2934,False,True,unlabeled,2,0,27631,230.258333,2,2,2,2,2,99.743049,poor
Unlabeled 2935,False,True,unlabeled,2,0,19811,165.091667,2,2,2,2,2,99.957175,poor
Unlabeled 2936,False,True,unlabeled,2,0,15908,132.566667,2,2,2,2,2,99.624456,poor
Unlabeled 2937,False,True,unlabeled,2,0,15861,132.175,2,2,2,2,2,99.917644,poor
Unlabeled 2941,False,True,unlabeled,2,0,16211,135.091667,2,2,2,2,2,99.973646,poor
Unlabeled 2945,False,True,unlabeled,2,0,17232,143.6,2,2,2,2,2,99.752932,poor
Unlabeled 2955,False,True,unlabeled,2,0,24563,204.691667,2,2,2,2,2,99.990117,poor
Unlabeled 2962,False,True,unlabeled,2,0,27713,230.941667,2,2,2,2,2,99.986823,poor
Unlabeled 2971,False,True,unlabeled,2,0,28079,233.991667,2,2,2,2,2,99.993412,poor
Unlabeled 2974,False,True,unlabeled,2,0,28081,234.008333,2,2,2,2,2,99.990117,poor
Unlabeled 2995,False,True,unlabeled,2,0,28318,235.983333,2,2,2,2,2,99.993412,poor
Unlabeled 3002,False,True,unlabeled,2,0,28779,239.825,2,2,2,2,2,99.993412,poor
Unlabeled 3003,False,True,unlabeled,3,0,28780,239.833333,3,3,3,3,3,99.993412,poor
Unlabeled 3011,False,True,unlabeled,2,0,29521,246.008333,2,2,2,2,2,99.990117,poor
Unlabeled 3012,False,True,unlabeled,3,0,29541,246.175,3,3,3,3,3,99.993412,poor
