gap_id,marker_name,is_labeled,is_unlabeled,body_region_group,gap_start_frame,gap_end_frame,gap_start_time_seconds,gap_end_time_seconds,duration_frames,duration_seconds,thresholds_crossed,severity_label,prev_valid_frame,next_valid_frame,touches_start_or_end,recommended_status
G000052,671:LShoulderTop,True,False,shoulder_upper_arm,18988,18997,158.23333333333332,158.30833333333334,10,0.08333333333333333,tiny,tiny,18987.0,18998.0,False,document
G000053,671:LThumb,True,False,fingers,14296,14305,119.13333333333334,119.20833333333333,10,0.08333333333333333,tiny,tiny,14295.0,14306.0,False,document
G000054,671:LThumb,True,False,fingers,14385,14494,119.875,120.78333333333333,110,0.9166666666666666,tiny;minor;moderate;large,large,14384.0,14495.0,False,potential_exclusion
G000055,671:LThumb,True,False,fingers,14504,14515,120.86666666666666,120.95833333333333,12,0.1,tiny;minor,minor,14503.0,14516.0,False,document
G000056,671:LThumb,True,False,fingers,14517,14517,120.975,120.975,1,0.008333333333333333,,single_frame,14516.0,14518.0,False,document
G000057,671:LThumb,True,False,fingers,14519,14521,120.99166666666666,121.00833333333334,3,0.025,tiny,tiny,14518.0,14522.0,False,document
G000058,671:LThumb,True,False,fingers,14735,14735,122.79166666666667,122.79166666666667,1,0.008333333333333333,,single_frame,14734.0,14736.0,False,document
G000059,671:LThumb,True,False,fingers,14955,14955,124.625,124.625,1,0.008333333333333333,,single_frame,14954.0,14956.0,False,document
G000060,671:LThumb,True,False,fingers,14965,14993,124.70833333333333,124.94166666666666,29,0.24166666666666667,tiny;minor;moderate,moderate,14964.0,14994.0,False,caution
G000061,671:LThumb,True,False,fingers,14996,14998,124.96666666666667,124.98333333333333,3,0.025,tiny,tiny,14995.0,14999.0,False,document
G000062,671:LThumb,True,False,fingers,15004,15004,125.03333333333333,125.03333333333333,1,0.008333333333333333,,single_frame,15003.0,15005.0,False,document
G000063,671:LThumb,True,False,fingers,15006,15007,125.05,125.05833333333334,2,0.016666666666666666,,tiny,15005.0,15008.0,False,document
G000064,671:LThumb,True,False,fingers,15541,15541,129.50833333333333,129.50833333333333,1,0.008333333333333333,,single_frame,15540.0,15542.0,False,document
G000065,671:LThumb,True,False,fingers,15543,15543,129.525,129.525,1,0.008333333333333333,,single_frame,15542.0,15544.0,False,document
G000066,671:LThumb,True,False,fingers,17235,17296,143.625,144.13333333333333,62,0.5166666666666667,tiny;minor;moderate;large,large,17234.0,17297.0,False,potential_exclusion
G000067,671:LThumb,True,False,fingers,17298,17306,144.15,144.21666666666667,9,0.075,tiny,tiny,17297.0,17307.0,False,document
G000068,671:LThumb,True,False,fingers,17324,17334,144.36666666666667,144.45,11,0.09166666666666666,tiny,tiny,17323.0,17335.0,False,document
G000069,671:LThumb,True,False,fingers,18535,18547,154.45833333333334,154.55833333333334,13,0.10833333333333334,tiny;minor,minor,18534.0,18548.0,False,document
G000070,671:LThumb,True,False,fingers,18753,18754,156.275,156.28333333333333,2,0.016666666666666666,,tiny,18752.0,18755.0,False,document
G000071,671:LThumb,True,False,fingers,19014,19027,158.45,158.55833333333334,14,0.11666666666666667,tiny;minor,minor,19013.0,19028.0,False,document
G000072,671:LThumb,True,False,fingers,27007,27007,225.05833333333334,225.05833333333334,1,0.008333333333333333,,single_frame,27006.0,27008.0,False,document
G000073,671:LThumb,True,False,fingers,27596,27600,229.96666666666667,230.0,5,0.041666666666666664,tiny,tiny,27595.0,27601.0,False,document
G000074,671:LThumb,True,False,fingers,27697,27697,230.80833333333334,230.80833333333334,1,0.008333333333333333,,single_frame,27696.0,27698.0,False,document
G000075,671:LThumb,True,False,fingers,27705,27706,230.875,230.88333333333333,2,0.016666666666666666,,tiny,27704.0,27707.0,False,document
G000076,671:LThumb,True,False,fingers,28122,28122,234.35,234.35,1,0.008333333333333333,,single_frame,28121.0,28123.0,False,document
G000077,671:LThumb,True,False,fingers,28569,28569,238.075,238.075,1,0.008333333333333333,,single_frame,28568.0,28570.0,False,document
G000078,671:LThumb,True,False,fingers,29228,29228,243.56666666666666,243.56666666666666,1,0.008333333333333333,,single_frame,29227.0,29229.0,False,document
G000079,671:LThumb,True,False,fingers,29274,29274,243.95,243.95,1,0.008333333333333333,,single_frame,29273.0,29275.0,False,document
G000080,671:LThumb,True,False,fingers,29447,29447,245.39166666666668,245.39166666666668,1,0.008333333333333333,,single_frame,29446.0,29448.0,False,document
G000081,671:LThumb,True,False,fingers,29450,29451,245.41666666666666,245.425,2,0.016666666666666666,,tiny,29449.0,29452.0,False,document
G000082,671:RHandIn,True,False,wrist_hand,13159,13159,109.65833333333333,109.65833333333333,1,0.008333333333333333,,single_frame,13158.0,13160.0,False,document
G000083,671:RHandIn,True,False,wrist_hand,15995,15999,133.29166666666666,133.325,5,0.041666666666666664,tiny,tiny,15994.0,16000.0,False,document
G000084,671:RHandIn,True,False,wrist_hand,16170,16174,134.75,134.78333333333333,5,0.041666666666666664,tiny,tiny,16169.0,16175.0,False,document
G000085,671:RHandIn,True,False,wrist_hand,16392,16392,136.6,136.6,1,0.008333333333333333,,single_frame,16391.0,16393.0,False,document
G000086,671:RHandIn,True,False,wrist_hand,18110,18110,150.91666666666666,150.91666666666666,1,0.008333333333333333,,single_frame,18109.0,18111.0,False,document
G000087,671:RHandIn,True,False,wrist_hand,18852,18852,157.1,157.1,1,0.008333333333333333,,single_frame,18851.0,18853.0,False,document
G000088,671:RHandIn,True,False,wrist_hand,19423,19423,161.85833333333332,161.85833333333332,1,0.008333333333333333,,single_frame,19422.0,19424.0,False,document
G000089,671:RHandIn,True,False,wrist_hand,19425,19435,161.875,161.95833333333334,11,0.09166666666666666,tiny,tiny,19424.0,19436.0,False,document
G000090,671:RHandIn,True,False,wrist_hand,19437,19452,161.975,162.1,16,0.13333333333333333,tiny;minor,minor,19436.0,19453.0,False,document
G000091,671:RHandIn,True,False,wrist_hand,20935,20935,174.45833333333334,174.45833333333334,1,0.008333333333333333,,single_frame,20934.0,20936.0,False,document
G000092,671:RHandIn,True,False,wrist_hand,22874,22901,190.61666666666667,190.84166666666667,28,0.23333333333333334,tiny;minor;moderate,moderate,22873.0,22902.0,False,caution
G000093,671:RHandIn,True,False,wrist_hand,24448,24449,203.73333333333332,203.74166666666667,2,0.016666666666666666,,tiny,24447.0,24450.0,False,document
G000094,671:RHandIn,True,False,wrist_hand,27590,27590,229.91666666666666,229.91666666666666,1,0.008333333333333333,,single_frame,27589.0,27591.0,False,document
G000095,671:RHandIn,True,False,wrist_hand,28058,28058,233.81666666666666,233.81666666666666,1,0.008333333333333333,,single_frame,28057.0,28059.0,False,document
G000096,671:RHandIn,True,False,wrist_hand,28064,28064,233.86666666666667,233.86666666666667,1,0.008333333333333333,,single_frame,28063.0,28065.0,False,document
G000097,671:RHandIn,True,False,wrist_hand,28073,28073,233.94166666666666,233.94166666666666,1,0.008333333333333333,,single_frame,28072.0,28074.0,False,document
G000098,671:RHandIn,True,False,wrist_hand,28098,28098,234.15,234.15,1,0.008333333333333333,,single_frame,28097.0,28099.0,False,document
G000099,671:RHandIn,True,False,wrist_hand,28100,28100,234.16666666666666,234.16666666666666,1,0.008333333333333333,,single_frame,28099.0,28101.0,False,document
G000100,671:RHandIn,True,False,wrist_hand,29222,29222,243.51666666666668,243.51666666666668,1,0.008333333333333333,,single_frame,29221.0,29223.0,False,document
G000101,671:RHandIn,True,False,wrist_hand,29323,29324,244.35833333333332,244.36666666666667,2,0.016666666666666666,,tiny,29322.0,29325.0,False,document
G000102,671:RHandIn,True,False,wrist_hand,29653,29653,247.10833333333332,247.10833333333332,1,0.008333333333333333,,single_frame,29652.0,29654.0,False,document
G000103,671:RHandIn,True,False,wrist_hand,29655,29656,247.125,247.13333333333333,2,0.016666666666666666,,tiny,29654.0,29657.0,False,document
G000104,671:RHandOut,True,False,wrist_hand,16396,16396,136.63333333333333,136.63333333333333,1,0.008333333333333333,,single_frame,16395.0,16397.0,False,document
