marker_name,is_labeled,is_unlabeled,body_region_group,n_total_frames,n_valid_frames,n_missing_frames,missing_percent,n_gaps_total,n_single_frame_gaps,longest_gap_frames,longest_gap_seconds,mean_gap_frames,median_gap_frames,n_gaps_ge_0p025s,n_gaps_ge_0p1s,n_gaps_ge_0p2s,n_gaps_ge_0p5s,n_gaps_ge_1p0s,first_missing_frame,last_missing_frame,quality_label,quality_reason
671:LIndex,True,False,fingers,30356,30332,24,0.079062,6,2,13,0.108333,4.0,2.0,2,1,0,0,0,4434.0,28083.0,clean,Within clean thresholds.
671:LKneeOut,True,False,thigh_knee,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LPinky,True,False,fingers,30356,30350,6,0.019765,2,0,3,0.025,3.0,3.0,2,0,0,0,0,14697.0,15023.0,clean,Within clean thresholds.
671:LShin,True,False,shank_ankle,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LShoulderBack,True,False,torso_chest_back,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LShoulderTop,True,False,shoulder_upper_arm,30356,30346,10,0.032942,1,0,10,0.083333,10.0,10.0,1,0,0,0,0,18988.0,18997.0,clean,Within clean thresholds.
671:LThighFront,True,False,thigh_knee,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LThighSide,True,False,thigh_knee,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LThumb,True,False,fingers,30356,30054,302,0.994861,29,13,110,0.916667,10.413793,2.0,12,6,3,2,0,14296.0,29451.0,poor,Missing percent or large-gap count exceeds poor thresholds.
671:LToeIn,True,False,foot,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
