link_id,parent_canonical,child_canonical,feature_scope,stage08_policy,stage07_jump_status,stage07_branch_cut_status,total_frames,filter_applied_frames,jump_event_frames,jump_context_frames,analysis_eligible_frames,stage08_filter_status,cutoff_hz,filter_order,sampling_rate_hz,min_filtfilt_length
J042,RRing1,RRing2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J043,RRing2,RRing3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J044,RThigh,RShin,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J045,Chest,RShoulder,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J046,671,RThigh,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J047,RHand,RThumb1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J048,RThumb1,RThumb2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J049,RThumb2,RThumb3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J050,RFoot,RToe,excluded_toe,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J051,RShoulder,RUArm,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
