source_bone_name,canonical_bone_name,component,column_index,flat_name
T3_671:RIndex3,RIndex3,Y,262,col0262__Bone__T3_671_RIndex3__Rotation__Y
T3_671:RIndex3,RIndex3,Z,263,col0263__Bone__T3_671_RIndex3__Rotation__Z
T3_671:RIndex3,RIndex3,W,264,col0264__Bone__T3_671_RIndex3__Rotation__W
T3_671:RMiddle1,RMiddle1,X,268,col0268__Bone__T3_671_RMiddle1__Rotation__X
T3_671:RMiddle1,RMiddle1,Y,269,col0269__Bone__T3_671_RMiddle1__Rotation__Y
T3_671:RMiddle1,RMiddle1,Z,270,col0270__Bone__T3_671_RMiddle1__Rotation__Z
T3_671:RMiddle1,RMiddle1,W,271,col0271__Bone__T3_671_RMiddle1__Rotation__W
T3_671:RMiddle2,RMiddle2,X,275,col0275__Bone__T3_671_RMiddle2__Rotation__X
T3_671:RMiddle2,RMiddle2,Y,276,col0276__Bone__T3_671_RMiddle2__Rotation__Y
T3_671:RMiddle2,RMiddle2,Z,277,col0277__Bone__T3_671_RMiddle2__Rotation__Z
T3_671:RMiddle2,RMiddle2,W,278,col0278__Bone__T3_671_RMiddle2__Rotation__W
T3_671:RMiddle3,RMiddle3,X,282,col0282__Bone__T3_671_RMiddle3__Rotation__X
T3_671:RMiddle3,RMiddle3,Y,283,col0283__Bone__T3_671_RMiddle3__Rotation__Y
T3_671:RMiddle3,RMiddle3,Z,284,col0284__Bone__T3_671_RMiddle3__Rotation__Z
T3_671:RMiddle3,RMiddle3,W,285,col0285__Bone__T3_671_RMiddle3__Rotation__W
T3_671:RRing1,RRing1,X,289,col0289__Bone__T3_671_RRing1__Rotation__X
T3_671:RRing1,RRing1,Y,290,col0290__Bone__T3_671_RRing1__Rotation__Y
T3_671:RRing1,RRing1,Z,291,col0291__Bone__T3_671_RRing1__Rotation__Z
T3_671:RRing1,RRing1,W,292,col0292__Bone__T3_671_RRing1__Rotation__W
T3_671:RRing2,RRing2,X,296,col0296__Bone__T3_671_RRing2__Rotation__X
T3_671:RRing2,RRing2,Y,297,col0297__Bone__T3_671_RRing2__Rotation__Y
T3_671:RRing2,RRing2,Z,298,col0298__Bone__T3_671_RRing2__Rotation__Z
T3_671:RRing2,RRing2,W,299,col0299__Bone__T3_671_RRing2__Rotation__W
T3_671:RRing3,RRing3,X,303,col0303__Bone__T3_671_RRing3__Rotation__X
T3_671:RRing3,RRing3,Y,304,col0304__Bone__T3_671_RRing3__Rotation__Y
T3_671:RRing3,RRing3,Z,305,col0305__Bone__T3_671_RRing3__Rotation__Z
T3_671:RRing3,RRing3,W,306,col0306__Bone__T3_671_RRing3__Rotation__W
T3_671:RPinky1,RPinky1,X,310,col0310__Bone__T3_671_RPinky1__Rotation__X
T3_671:RPinky1,RPinky1,Y,311,col0311__Bone__T3_671_RPinky1__Rotation__Y
T3_671:RPinky1,RPinky1,Z,312,col0312__Bone__T3_671_RPinky1__Rotation__Z
T3_671:RPinky1,RPinky1,W,313,col0313__Bone__T3_671_RPinky1__Rotation__W
T3_671:RPinky2,RPinky2,X,317,col0317__Bone__T3_671_RPinky2__Rotation__X
T3_671:RPinky2,RPinky2,Y,318,col0318__Bone__T3_671_RPinky2__Rotation__Y
T3_671:RPinky2,RPinky2,Z,319,col0319__Bone__T3_671_RPinky2__Rotation__Z
T3_671:RPinky2,RPinky2,W,320,col0320__Bone__T3_671_RPinky2__Rotation__W
T3_671:RPinky3,RPinky3,X,324,col0324__Bone__T3_671_RPinky3__Rotation__X
T3_671:RPinky3,RPinky3,Y,325,col0325__Bone__T3_671_RPinky3__Rotation__Y
T3_671:RPinky3,RPinky3,Z,326,col0326__Bone__T3_671_RPinky3__Rotation__Z
T3_671:RPinky3,RPinky3,W,327,col0327__Bone__T3_671_RPinky3__Rotation__W
T3_671:LThigh,LThigh,X,331,col0331__Bone__T3_671_LThigh__Rotation__X
T3_671:LThigh,LThigh,Y,332,col0332__Bone__T3_671_LThigh__Rotation__Y
