column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
87,col0087__Bone__T3_671_LHand__Rotation__Y,Bone,T3_671:LHand,47C68B92012911F1:90AFB54A3B8C3180,T3_671:LFArm,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
88,col0088__Bone__T3_671_LHand__Rotation__Z,Bone,T3_671:LHand,47C68B92012911F1:90AFB54A3B8C3180,T3_671:LFArm,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
89,col0089__Bone__T3_671_LHand__Rotation__W,Bone,T3_671:LHand,47C68B92012911F1:90AFB54A3B8C3180,T3_671:LFArm,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
93,col0093__Bone__T3_671_LThumb1__Rotation__X,Bone,T3_671:LThumb1,47C68B9F012911F1:90AFB54A3B8C3180,T3_671:LHand,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
94,col0094__Bone__T3_671_LThumb1__Rotation__Y,Bone,T3_671:LThumb1,47C68B9F012911F1:90AFB54A3B8C3180,T3_671:LHand,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
95,col0095__Bone__T3_671_LThumb1__Rotation__Z,Bone,T3_671:LThumb1,47C68B9F012911F1:90AFB54A3B8C3180,T3_671:LHand,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
96,col0096__Bone__T3_671_LThumb1__Rotation__W,Bone,T3_671:LThumb1,47C68B9F012911F1:90AFB54A3B8C3180,T3_671:LHand,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
100,col0100__Bone__T3_671_LThumb2__Rotation__X,Bone,T3_671:LThumb2,47C68BA0012911F1:90AFB54A3B8C3180,T3_671:LThumb1,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
101,col0101__Bone__T3_671_LThumb2__Rotation__Y,Bone,T3_671:LThumb2,47C68BA0012911F1:90AFB54A3B8C3180,T3_671:LThumb1,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
102,col0102__Bone__T3_671_LThumb2__Rotation__Z,Bone,T3_671:LThumb2,47C68BA0012911F1:90AFB54A3B8C3180,T3_671:LThumb1,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
103,col0103__Bone__T3_671_LThumb2__Rotation__W,Bone,T3_671:LThumb2,47C68BA0012911F1:90AFB54A3B8C3180,T3_671:LThumb1,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
107,col0107__Bone__T3_671_LThumb3__Rotation__X,Bone,T3_671:LThumb3,47C68BA1012911F1:90AFB54A3B8C3180,T3_671:LThumb2,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
108,col0108__Bone__T3_671_LThumb3__Rotation__Y,Bone,T3_671:LThumb3,47C68BA1012911F1:90AFB54A3B8C3180,T3_671:LThumb2,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
