participant_id,session_id,timepoint,part_id,repetition_id,source_file,start_frame,end_frame,time_sec,end_time_sec,gap_flag,jump_flag,swap_candidate_flag,artifact_flag,unlabeled_burden_flag,marker_set_id,marker_set_mismatch_or_prefix_change_flag,dominant_reason,affected_markers,affected_marker_count
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30584,30585,254.8667,254.875,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30586,30586,254.8833,254.8833,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:BackLeft;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30587,30594,254.8917,254.95,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30595,30595,254.9583,254.9583,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront;T3_671:WaistCBack,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30596,30596,254.9667,254.9667,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30597,30597,254.975,254.975,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront;T3_671:WaistRBack;T3_671:WaistRFront,3
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30598,30600,254.9833,255.0,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30601,30601,255.0083,255.0083,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront;T3_671:WaistRFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30602,30606,255.0167,255.05,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30607,30639,255.0583,255.325,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30640,30640,255.3333,255.3333,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront;T3_671:RKneeOut,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30641,30644,255.3417,255.3667,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30645,30645,255.375,255.375,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront;T3_671:RThighSide,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30646,30686,255.3833,255.7167,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30687,30691,255.725,255.7583,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30692,30717,255.7667,255.975,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30718,30721,255.9833,256.0083,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30722,30726,256.0167,256.05,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30727,30727,256.0583,256.0583,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LHandIn;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30728,30729,256.0667,256.075,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30730,30730,256.0833,256.0833,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LHandOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30731,30744,256.0917,256.2,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30745,30749,256.2083,256.2417,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30750,30773,256.25,256.4417,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30774,30777,256.45,256.475,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30778,30797,256.4833,256.6417,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30798,30803,256.65,256.6917,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30804,30823,256.7,256.8583,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30824,30829,256.8667,256.9083,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,30830,31391,256.9167,261.5917,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
