frame,time_s,flag_gap_0p2,flag_gap_0p5,flag_artifact_sigma,flag_segment_swap,flag_edge_effect,reason
25034,208.616667,False,False,False,False,False,
25035,208.625,False,False,False,False,False,
25036,208.633333,False,False,False,False,False,
25037,208.641667,False,False,False,False,False,
25038,208.65,False,False,False,False,False,
25039,208.658333,False,False,False,False,False,
25040,208.666667,False,False,False,False,False,
25041,208.675,False,False,False,False,False,
25042,208.683333,False,False,False,False,False,
25043,208.691667,False,False,False,False,False,
25044,208.7,False,False,False,False,False,
25045,208.708333,False,False,False,False,False,
25046,208.716667,False,False,False,False,False,
25047,208.725,False,False,False,False,False,
25048,208.733333,False,False,False,False,False,
25049,208.741667,False,False,False,False,False,
25050,208.75,False,False,False,False,False,
25051,208.758333,False,False,False,False,False,
25052,208.766667,False,False,False,False,False,
25053,208.775,False,False,False,False,False,
25054,208.783333,False,False,False,False,False,
25055,208.791667,False,False,False,False,False,
25056,208.8,False,False,False,False,False,
25057,208.808333,False,False,False,False,False,
25058,208.816667,False,False,False,False,False,
25059,208.825,False,False,False,False,False,
25060,208.833333,False,False,False,False,False,
25061,208.841667,False,False,False,False,False,
25062,208.85,False,False,False,False,False,
25063,208.858333,False,False,False,False,False,
25064,208.866667,False,False,False,False,False,
25065,208.875,False,False,True,False,False,ARTIFACT_SIGMA
25066,208.883333,False,False,False,False,False,
25067,208.891667,False,False,False,False,False,
25068,208.9,False,False,False,False,False,
25069,208.908333,False,False,False,False,False,
25070,208.916667,False,False,False,False,False,
25071,208.925,False,False,False,False,False,
25072,208.933333,False,False,False,False,False,
25073,208.941667,False,False,False,False,False,
25074,208.95,False,False,False,False,False,
25075,208.958333,False,False,False,False,False,
25076,208.966667,False,False,False,False,False,
25077,208.975,False,False,False,False,False,
25078,208.983333,False,False,False,False,False,
25079,208.991667,False,False,False,False,False,
25080,209.0,False,False,False,False,False,
25081,209.008333,False,False,False,False,False,
25082,209.016667,False,False,False,False,False,
25083,209.025,False,False,False,False,False,
25084,209.033333,False,False,False,False,False,
25085,209.041667,False,False,False,False,False,
25086,209.05,False,False,False,False,False,
25087,209.058333,False,False,False,False,False,
25088,209.066667,False,False,False,False,False,
25089,209.075,False,False,False,False,False,
25090,209.083333,False,False,False,False,False,
25091,209.091667,False,False,False,False,False,
25092,209.1,False,False,False,False,False,
25093,209.108333,False,False,False,False,False,
25094,209.116667,False,False,False,False,False,
25095,209.125,False,False,False,False,False,
25096,209.133333,False,False,False,False,False,
25097,209.141667,False,False,False,False,False,
25098,209.15,False,False,False,False,False,
25099,209.158333,False,False,False,False,False,
25100,209.166667,False,False,False,False,False,
25101,209.175,False,False,False,False,False,
25102,209.183333,False,False,False,False,False,
25103,209.191667,False,False,False,False,False,
25104,209.2,False,False,False,False,False,
25105,209.208333,False,False,False,False,False,
25106,209.216667,False,False,False,False,False,
25107,209.225,False,False,False,False,False,
25108,209.233333,False,False,False,False,False,
25109,209.241667,False,False,False,False,False,
25110,209.25,False,False,False,False,False,
25111,209.258333,False,False,False,False,False,
25112,209.266667,False,False,False,False,False,
25113,209.275,False,False,False,False,False,
25114,209.283333,False,False,False,False,False,
25115,209.291667,False,False,False,False,False,
25116,209.3,False,False,False,False,False,
25117,209.308333,False,False,False,False,False,
25118,209.316667,False,False,False,False,False,
25119,209.325,False,False,False,False,False,
25120,209.333333,False,False,False,False,False,
25121,209.341667,False,False,False,False,False,
25122,209.35,False,False,False,False,False,
25123,209.358333,False,False,False,False,False,
25124,209.366667,False,False,False,False,False,
25125,209.375,False,False,False,False,False,
25126,209.383333,False,False,False,False,False,
25127,209.391667,False,False,False,False,False,
25128,209.4,False,False,False,False,False,
25129,209.408333,False,False,False,False,False,
25130,209.416667,False,False,False,False,False,
25131,209.425,False,False,False,False,False,
25132,209.433333,False,False,False,False,False,
25133,209.441667,False,False,False,False,False,
25134,209.45,False,False,False,False,False,
25135,209.458333,False,False,False,False,False,
25136,209.466667,False,False,False,False,False,
25137,209.475,False,False,False,False,False,
25138,209.483333,False,False,False,False,False,
25139,209.491667,False,False,False,False,False,
25140,209.5,False,False,False,False,False,
25141,209.508333,False,False,False,False,False,
25142,209.516667,False,False,False,False,False,
25143,209.525,False,False,False,False,False,
25144,209.533333,False,False,False,False,False,
25145,209.541667,False,False,False,False,False,
25146,209.55,False,False,False,False,False,
25147,209.558333,False,False,False,False,False,
25148,209.566667,False,False,False,False,False,
25149,209.575,False,False,False,False,False,
